step,illu,pmp
322,322,0.0381689
323,323,0.0382982
324,324,0.0384275
325,325,0.0385569
326,326,0.0386862
327,327,0.0388156
328,328,0.038945
329,329,0.0390743
330,330,0.0392037
331,331,0.0393331
332,332,0.0394625
333,333,0.039592
334,334,0.0397214
335,335,0.0398508
336,336,0.0399803
337,337,0.0401097
338,338,0.0402392
339,339,0.0403686
340,340,0.0404981
341,341,0.0406276
342,342,0.0407665
343,343,0.0408963
344,344,0.0410261
345,345,0.041156
346,346,0.0412858
347,347,0.0414047
348,348,0.0415342
349,349,0.0416638
350,350,0.0417934
351,351,0.0419229
352,352,0.0420525
353,353,0.0421821
354,354,0.0423117
355,355,0.0424413
356,356,0.0425709
357,357,0.0427144
358,358,0.0428444
359,359,0.0429743
360,360,0.0431042
361,361,0.0432342
362,362,0.0433641
363,363,0.0434941
364,364,0.0436241
365,365,0.0437541
366,366,0.0438841
367,367,0.0440141
368,368,0.0441441
369,369,0.0442741
370,370,0.0444041
371,371,0.0445341
372,372,0.0446642
373,373,0.0447942
374,374,0.0449242
375,375,0.0450543
376,376,0.0451844
377,377,0.0453144
378,378,0.0454445
379,379,0.0455746
380,380,0.0457047
381,381,0.0458348
382,382,0.0459649
383,383,0.0460951
384,384,0.0462252
385,385,0.0463553
386,386,0.0464994
387,387,0.0466298
388,388,0.0467602
389,389,0.0468907
390,390,0.0470211
391,391,0.0471516
392,392,0.047282
393,393,0.0474125
394,394,0.047543
395,395,0.0476734
396,396,0.0478039
397,397,0.0479344
398,398,0.0480649
399,399,0.0481954
400,400,0.0483259
401,401,0.0484565
402,402,0.048587
403,403,0.0487175
404,404,0.048848
405,405,0.0489786
406,406,0.0491091
407,407,0.0492397
408,408,0.0493703
409,409,0.0495009
410,410,0.0496314
411,411,0.049762
412,412,0.0498926
413,413,0.0500232
414,414,0.0501538
415,415,0.0502844
416,416,0.0504151
417,417,0.0505601
418,418,0.050691
419,419,0.0508219
420,420,0.0509528
421,421,0.0510837
422,422,0.0512146
423,423,0.0513455
424,424,0.0514764
425,425,0.0516074
426,426,0.0517383
427,427,0.0518693
428,428,0.0520002
429,429,0.0521312
430,430,0.0522621
431,431,0.0523931
432,432,0.0525241
433,433,0.052655
434,434,0.052786
435,435,0.052917
436,436,0.053048
437,437,0.053179
438,438,0.05331
439,439,0.053441
440,440,0.0535721
441,441,0.0537031
442,442,0.0538341
443,443,0.0539652
444,444,0.0540962
445,445,0.0542273
446,446,0.0543727
447,447,0.054504
448,448,0.0546353
449,449,0.0547666
450,450,0.0548979
451,451,0.0550292
452,452,0.0551605
453,453,0.0552919
454,454,0.0554232
455,455,0.0555546
456,456,0.0556859
457,457,0.0558173
458,458,0.0559486
459,459,0.05608
460,460,0.0562113
461,461,0.0563427
462,462,0.0564741
463,463,0.0566055
464,464,0.0567369
465,465,0.0568683
466,466,0.0569997
467,467,0.0571311
468,468,0.0572625
469,469,0.0573939
470,470,0.0575254
471,471,0.0576568
472,472,0.0577882
473,473,0.0579335
474,474,0.0580651
475,475,0.0581968
476,476,0.0583285
477,477,0.0584602
478,478,0.0585769
479,479,0.0587084
480,480,0.0588399
481,481,0.0589714
482,482,0.0591029
483,483,0.0592344
484,484,0.0593659
485,485,0.0594974
486,486,0.0596289
487,487,0.0597604
488,488,0.0598919
489,489,0.0600408
490,490,0.0601725
491,491,0.0603042
492,492,0.060436
493,493,0.0605678
494,494,0.0606995
495,495,0.0608313
496,496,0.0609631
497,497,0.0610949
498,498,0.0612267
499,499,0.0613585
500,500,0.0614902
501,501,0.061622
502,502,0.0617539
503,503,0.0618857
504,504,0.0620175
505,505,0.0621493
506,506,0.0622811
507,507,0.062413
508,508,0.0625448
509,509,0.0626766
510,510,0.0628085
511,511,0.0629403
512,512,0.0630722
513,513,0.063204
514,514,0.0633359
515,515,0.0634678
516,516,0.0635996
517,517,0.0637315
518,518,0.0638804
519,519,0.0640125
520,520,0.0641446
521,521,0.0642591
522,522,0.064391
523,523,0.0645229
524,524,0.0646548
525,525,0.0647867
526,526,0.0649373
527,527,0.0650694
528,528,0.0652015
529,529,0.0653337
530,530,0.0654658
531,531,0.0655979
532,532,0.0657301
533,533,0.0658622
534,534,0.0659944
535,535,0.0661266
536,536,0.0662587
537,537,0.0663909
538,538,0.0665231
539,539,0.0666552
540,540,0.0667874
541,541,0.0669196
542,542,0.0670518
543,543,0.067184
544,544,0.0673162
545,545,0.0674484
546,546,0.0675806
547,547,0.0677128
548,548,0.067845
549,549,0.0679773
550,550,0.0681095
551,551,0.0682417
552,552,0.068374
553,553,0.0685062
554,554,0.0686384
555,555,0.0687707
556,556,0.0689029
557,557,0.0690538
558,558,0.0691863
559,559,0.0693187
560,560,0.0694512
561,561,0.0695836
562,562,0.0697161
563,563,0.0698486
564,564,0.069981
565,565,0.0701135
566,566,0.070246
567,567,0.0703785
568,568,0.070511
569,569,0.0706435
570,570,0.0707759
571,571,0.0709084
572,572,0.0710409
573,573,0.0711735
574,574,0.071306
575,575,0.0714385
576,576,0.071571
577,577,0.0717035
578,578,0.071836
579,579,0.0719686
580,580,0.0721011
581,581,0.0722336
582,582,0.0723662
583,583,0.0724987
584,584,0.0726313
585,585,0.0727638
586,586,0.0729146
587,587,0.0730474
588,588,0.0731801
589,589,0.0733129
590,590,0.0734456
591,591,0.0735784
592,592,0.0737111
593,593,0.0738244
594,594,0.073957
595,595,0.0740896
596,596,0.0742222
597,597,0.0743548
598,598,0.0744874
599,599,0.07462
600,600,0.0747526
601,601,0.0748852
602,602,0.0750389
603,603,0.0751717
604,604,0.0753045
605,605,0.0754373
606,606,0.0755701
607,607,0.0757029
608,608,0.0758357
609,609,0.0759686
610,610,0.0761014
611,611,0.0762342
612,612,0.076367
613,613,0.0764999
614,614,0.0766327
615,615,0.0767655
616,616,0.0768984
617,617,0.0770312
618,618,0.0771641
619,619,0.0772969
620,620,0.0774298
621,621,0.0775626
622,622,0.0776955
623,623,0.0778283
624,624,0.0779612
625,625,0.0780941
626,626,0.078227
627,627,0.0783598
628,628,0.0784927
629,629,0.0786256
630,630,0.0787585
631,631,0.0788914
632,632,0.0790243
633,633,0.0791781
634,634,0.0793112
635,635,0.0794443
636,636,0.0795773
637,637,0.0797104
638,638,0.0798435
639,639,0.0799766
640,640,0.0801097
641,641,0.0802428
642,642,0.0803758
643,643,0.0805089
644,644,0.080642
645,645,0.0807751
646,646,0.0809082
647,647,0.0810414
648,648,0.0811745
649,649,0.0813076
650,650,0.0814407
651,651,0.0815738
652,652,0.0817069
653,653,0.0818401
654,654,0.0819732
655,655,0.0821063
656,656,0.0822395
657,657,0.0823726
658,658,0.0825057
659,659,0.0826389
660,660,0.082772
661,661,0.0829052
662,662,0.0830588
663,663,0.0831921
664,664,0.0833255
665,665,0.0834588
666,666,0.0835921
667,667,0.0837254
668,668,0.0838588
669,669,0.0839921
670,670,0.0841254
671,671,0.0842588
672,672,0.0843921
673,673,0.0845254
674,674,0.0846588
675,675,0.0847921
676,676,0.0849255
677,677,0.0850588
678,678,0.0851922
679,679,0.0853256
680,680,0.0854589
681,681,0.0855923
682,682,0.0857257
683,683,0.085859
684,684,0.0859924
685,685,0.0861258
686,686,0.0862592
687,687,0.0863925
688,688,0.0865259
689,689,0.0866593
690,690,0.0867927
691,691,0.0869261
692,692,0.0870595
693,693,0.0872132
694,694,0.0873468
695,695,0.0874803
696,696,0.0876139
697,697,0.0877474
698,698,0.087881
699,699,0.0880146
700,700,0.0881481
701,701,0.0882817
702,702,0.0884153
703,703,0.0885489
704,704,0.0886604
705,705,0.0887939
706,706,0.0889273
707,707,0.0890607
708,708,0.0891942
709,709,0.0893504
710,710,0.089484
711,711,0.0896176
712,712,0.0897511
713,713,0.0898847
714,714,0.0900184
715,715,0.090152
716,716,0.0902856
717,717,0.0904192
718,718,0.0905528
719,719,0.0906864
720,720,0.09082
721,721,0.0909536
722,722,0.0910873
723,723,0.0912209
724,724,0.0913545
725,725,0.0914881
726,726,0.0916218
727,727,0.0917554
728,728,0.091889
729,729,0.0920227
730,730,0.0921563
731,731,0.0922899
732,732,0.0924236
733,733,0.0925572
734,734,0.0926909
735,735,0.0928245
736,736,0.0929582
737,737,0.0930918
738,738,0.0932477
739,739,0.0933815
740,740,0.0935154
741,741,0.0936492
742,742,0.093783
743,743,0.0938938
744,744,0.0940275
745,745,0.0941612
746,746,0.0943182
747,747,0.0944521
748,748,0.0945859
749,749,0.0947197
750,750,0.0948535
751,751,0.0949874
752,752,0.0951212
753,753,0.095255
754,754,0.0953889
755,755,0.0955227
756,756,0.0956565
757,757,0.0957904
758,758,0.0959242
759,759,0.0960581
760,760,0.0961919
761,761,0.0963258
762,762,0.0964596
763,763,0.0965935
764,764,0.0967273
765,765,0.0968612
766,766,0.0969951
767,767,0.0971289
768,768,0.0972628
769,769,0.0973967
770,770,0.0975305
771,771,0.0976644
772,772,0.0977983
773,773,0.0979322
774,774,0.098066
775,775,0.0981999
776,776,0.0983338
777,777,0.0984908
778,778,0.0986248
779,779,0.0987589
780,780,0.0988929
781,781,0.0990269
782,782,0.0991609
783,783,0.099295
784,784,0.099429
785,785,0.099563
786,786,0.0996971
787,787,0.0998311
788,788,0.0999652
789,789,0.100099
790,790,0.100233
791,791,0.100367
792,792,0.100501
793,793,0.100635
794,794,0.100769
795,795,0.100903
796,796,0.101038
797,797,0.101172
798,798,0.101306
799,799,0.10144
800,800,0.101574
801,801,0.101708
802,802,0.101842
803,803,0.101976
804,804,0.10211
805,805,0.102244
806,806,0.102401
807,807,0.102512
808,808,0.102669
809,809,0.102803
810,810,0.102938
811,811,0.103072
812,812,0.103206
813,813,0.103317
814,814,0.103451
815,815,0.103585
816,816,0.103719
817,817,0.103853
818,818,0.103987
819,819,0.104121
820,820,0.104255
821,821,0.10439
822,822,0.104548
823,823,0.104683
824,824,0.104817
825,825,0.104951
826,826,0.105085
827,827,0.10522
828,828,0.105354
829,829,0.105488
830,830,0.105622
831,831,0.105756
832,832,0.105891
833,833,0.106025
834,834,0.106159
835,835,0.106294
836,836,0.106428
837,837,0.106562
838,838,0.106696
839,839,0.106831
840,840,0.106965
841,841,0.107099
842,842,0.107233
843,843,0.107368
844,844,0.107502
845,845,0.107636
846,846,0.10777
847,847,0.107905
848,848,0.108039
849,849,0.108197
850,850,0.108307
851,851,0.108442
852,852,0.108576
853,853,0.108735
854,854,0.108869
855,855,0.109004
856,856,0.109138
857,857,0.109272
858,858,0.109407
859,859,0.109541
860,860,0.109676
861,861,0.10981
862,862,0.109944
863,863,0.110079
864,864,0.110213
865,865,0.110348
866,866,0.110482
867,867,0.110617
868,868,0.110751
869,869,0.110885
870,870,0.11102
871,871,0.111154
872,872,0.111289
873,873,0.111423
874,874,0.111558
875,875,0.111692
876,876,0.111826
877,877,0.111961
878,878,0.112095
879,879,0.11223
880,880,0.112388
881,881,0.112522
882,882,0.112657
883,883,0.112768
884,884,0.112926
885,885,0.113061
886,886,0.113195
887,887,0.11333
888,888,0.113464
889,889,0.113599
890,890,0.113734
891,891,0.113868
892,892,0.114003
893,893,0.114137
894,894,0.114272
895,895,0.114406
896,896,0.114541
897,897,0.114676
898,898,0.11481
899,899,0.114945
900,900,0.115079
901,901,0.115214
902,902,0.115349
903,903,0.115483
904,904,0.115618
905,905,0.115752
906,906,0.115887
907,907,0.116022
908,908,0.116156
909,909,0.116291
910,910,0.116449
911,911,0.116583
912,912,0.116718
913,913,0.116853
914,914,0.116987
915,915,0.117122
916,916,0.117257
917,917,0.117392
918,918,0.117526
919,919,0.117661
920,920,0.117771
921,921,0.117906
922,922,0.118041
923,923,0.118175
924,924,0.11831
925,925,0.118444
926,926,0.118604
927,927,0.118739
928,928,0.118874
929,929,0.119008
