v1,I(R4)
165,0.003462702
166,0.003483688
167,0.003504673
168,0.00352566
169,0.003546646
170,0.003567632
171,0.003588618
172,0.003609604
173,0.00363059
174,0.003651576
175,0.003672562
176,0.003693548
177,0.003714534
178,0.00373552
179,0.003756506
180,0.003777493
181,0.003798479
182,0.003819465
183,0.003840451
184,0.003861437
185,0.003882423
186,0.003903409
187,0.003924395
188,0.003945381
189,0.003966367
190,0.003987353
191,0.004008339
192,0.004029325
193,0.004050312
194,0.004071298
195,0.004092284
196,0.00411327
197,0.004134255
198,0.004155242
199,0.004176228
200,0.004197214
201,0.0042182
202,0.004239186
203,0.004260172
204,0.004281158
205,0.004302144
206,0.00432313
207,0.004344116
208,0.004365102
209,0.004386088
210,0.004407075
211,0.004428061
212,0.004449047
213,0.004470033
214,0.004491019
215,0.004512005
216,0.004532991
217,0.004553977
218,0.004574963
219,0.004595949
220,0.004616935
221,0.004637921
222,0.004658907
223,0.004679894
224,0.00470088
225,0.004721866
226,0.004742851
227,0.004763838
228,0.004784824
229,0.00480581
230,0.004826796
231,0.004847782
232,0.004868768
233,0.004889754
234,0.00491074
235,0.004931726
236,0.004952712
237,0.004973698
238,0.004994684
239,0.005015671
240,0.005036657
241,0.005057643
242,0.005078629
243,0.005099615
244,0.005120601
245,0.005141587
246,0.005162573
247,0.005183559
248,0.005204545
249,0.005225531
250,0.005246517
251,0.005267503
252,0.00528849
253,0.005309476
254,0.005330462
255,0.005351448
256,0.005372434
257,0.00539342
258,0.005414406
259,0.005435392
260,0.005456378
261,0.005477364
262,0.00549835
263,0.005519336
264,0.005540323
265,0.005561308
266,0.005582294
267,0.00560328
268,0.005624267
269,0.005645253
270,0.005666239
271,0.005687225
272,0.005708211
273,0.005729197
274,0.005750183
275,0.005771169
276,0.005792155
277,0.005813141
278,0.005834127
279,0.005855113
280,0.005876099
281,0.005897086
282,0.005918072
283,0.005939058
284,0.005960044
285,0.00598103
286,0.006002016
287,0.006023002
288,0.006043988
289,0.006064974
290,0.00608596
291,0.006106946
292,0.006127932
293,0.006148919
294,0.006169904
295,0.00619089
296,0.006211876
297,0.006232863
298,0.006253849
299,0.006274835
300,0.006295821
301,0.006316807
302,0.006337793
303,0.006358779
304,0.006379765
305,0.006400751
306,0.006421737
307,0.006442723
308,0.006463709
309,0.006484695
310,0.006505682
311,0.006526668
312,0.006547654
313,0.00656864
314,0.006589626
315,0.006610612
316,0.006631598
317,0.006652584
