VLOAD,I(R1),V(illu)
1.6,0.0165439408689656,400
1.7,0.0165306263813407,400
1.8,0.01651730161439,400
1.9,0.0165039610451132,400
2,0.0164905961830561,400
2.1,0.0164771939759427,400
2.2,0.0164637343586898,400
2.3,0.0164501864856039,400
2.4,0.0164365029383362,400
2.5,0.0164226108222247,400
2.6,0.0164083980797416,400
2.7,0.0163936924525592,400
2.8,0.0163782291455454,400
2.9,0.0163616011297643,400
3,0.0163431827741247,400
3.1,0.0163220125169454,400
3.2,0.0162966126680262,400
3.3,0.0162647127936713,400
3.4,0.0162228254272359,400
3.5,0.016165596049408,400
3.6,0.0160848090877246,400
3.7,0.0159678722381464,400
3.8,0.0157955154783505,400
3.9,0.0155383216168383,400
4,0.0151515501044162,400
4.1,0.0145675411813055,400
4.2,0.0136848565262664,400
4.3,0.0123533925130363,400
4.4,0.0103553499591142,400
4.5,0.00738376871240698,400
4.6,0.00302401777547567,400
4.625,0.00165769909183933,400
4.65,0.000162869268144128,400
4.675,9.99999999999994E-05,400
4.7,0.0001,400
4.725,0.0001,400
4.75,0.0001,400
4.775,0.0001,400
4.8,0.0001,400
4.825,0.0001,400
4.85,0.0001,400
4.875,0.0001,400
4.9,0.0001,400
4.925,0.0001,400
4.95,0.0001,400
4.975,0.0001,400
5,0.0001,400
0.1,0.0209325822921734,500
0.2,0.020919286905208,500
0.3,0.0209059915015627,500
0.4,0.0208926960722753,500
0.5,0.0208794006035686,500
0.6,0.0208661050742628,500
0.7,0.0208528094517985,500
0.8,0.0208395136861224,500
0.9,0.0208262177002875,500
1,0.0208129213760038,500
1.1,0.0207996245314256,500
1.2,0.0207863268870019,500
1.3,0.0207730280129813,500
1.4,0.0207597272487096,500
1.5,0.0207464235785688,500
1.6,0.0207331154412549,500
1.7,0.0207198004365898,500
1.8,0.0207064748747967,500
1.9,0.0206931330836155,500
2,0.0206797663431357,500
2.1,0.0206663612483424,500
2.2,0.0206528971918944,500
2.3,0.0206393424945006,500
2.4,0.0206256484563572,500
2.5,0.0206117402128985,500
2.6,0.0205975026784369,500
2.7,0.0205827589398588,500
2.8,0.0205672370471597,500
2.9,0.020550518974392,500
3,0.0205319621898603,500
3.1,0.0205105791625662,500
3.2,0.0204848523078893,500
3.3,0.0204524499289134,500
3.4,0.0204097905356884,500
3.5,0.0203513754359541,500
3.6,0.0202687682891014,500
3.7,0.0201490394468187,500
3.8,0.0199724050770271,500
3.9,0.019708669294983,500
4,0.0193119204334509,500
4.1,0.0187127580843205,500
4.2,0.0178072033729202,500
4.3,0.0164415472385042,500
4.4,0.0143930920139437,500
4.5,0.0113486633588598,500
4.6,0.0068865793501387,500
4.625,0.00548926159314123,500
4.65,0.00396108132244999,500
4.675,0.00229237290474771,500
4.7,0.000473219529369295,500
4.725,0.000100000000000003,500
4.75,0.0001,500
4.775,0.0001,500
4.8,0.0001,500
4.825,0.0001,500
4.85,0.0001,500
4.875,0.0001,500
4.9,0.0001,500
4.925,0.0001,500
4.95,0.0001,500
4.975,0.0001,500
5,0.0001,500
0.1,0.0251217578252079,600
0.2,0.0251084624374036,600
0.3,0.0250951670324684,600
0.4,0.0250818716011983,600
0.5,0.0250685761294435,600
0.6,0.025055280595452,600
0.7,0.0250419849657841,600
0.8,0.0250286891890343,600
0.9,0.0250153931861757,600
1,0.0250020968357219,600
1.1,0.0249887999509122,600
1.2,0.0249755022446408,600
1.3,0.0249622032755424,600
1.4,0.0249489023651084,600
1.5,0.0249355984702728,600
1.6,0.0249222899875379,600
1.7,0.0249089744518591,600
1.8,0.0248956480737428,600
1.9,0.0248823050276348,600
2,0.0248689363579679,600
2.1,0.0248555282974545,600
2.2,0.0248420596818419,600
2.3,0.0248284979757134,600
2.4,0.0248147931631815,600
2.5,0.0248008683565444,600
2.6,0.024786605360132,600
2.7,0.0247718224802762,600
2.8,0.0247562404188084,600
2.9,0.0247394298557417,600
3,0.02472073090243,600
3.1,0.0246991293576699,600
3.2,0.0246730666664892,600
3.3,0.024640148218344,600
3.4,0.0245966959713617,600
3.5,0.0245370631932342,600
3.6,0.0244525868776551,600
3.7,0.0243299910767703,600
3.8,0.0241489646411686,600
3.9,0.0238785128297958,600
4,0.0234715232454006,600
4.1,0.0228568124475057,600
4.2,0.0219278028072676,600
4.3,0.0205271052571039,600
4.4,0.0184270392871144,600
4.5,0.015308143446858,600
4.6,0.010741666502796,600
4.625,0.00931277391838314,600
4.65,0.00775064820340265,600
4.675,0.00604555531785594,600
4.7,0.00418752685997559,600
4.725,0.00216643481119227,600
4.75,9.9999999999989E-05,600
4.775,0.0001,600
4.8,0.0001,600
4.825,0.0001,600
4.85,0.0001,600
4.875,0.0001,600
4.9,0.0001,600
4.925,0.0001,600
4.95,0.0001,600
4.975,0.0001,600
5,0.0001,600
0.1,0.0293109333582003,700
0.2,0.0292976379695342,700
0.3,0.0292843425632745,700
0.4,0.029271047129968,700
0.5,0.0292577516550828,700
0.6,0.0292444561162788,700
0.7,0.029231160479213,700
0.8,0.0292178646910899,700
0.9,0.0292045686707476,700
1,0.029191272293416,700
1.1,0.0291779753672878,700
1.2,0.0291646775974975,700
1.3,0.0291513785307517,700
1.4,0.0291380774702049,700
1.5,0.0291247733446029,700
1.6,0.0291114645071113,700
1.7,0.0290981484260682,700
1.8,0.0290848212095676,700
1.9,0.0290714768746181,700
2,0.0290581062236273,700
